date,USD
2017-01, 1.31959524
2016-12, 1.33356500
2016-11, 1.34399048
2016-10, 1.32530500
2016-09, 1.31023333
2016-08, 1.29932273
2016-07, 1.30457500
2016-06, 1.28870000
2016-05, 1.29425238
2016-04, 1.28176190
2016-03, 1.32104091
2016-02, 1.37884000
2016-01, 1.42255000
2015-12, 1.37035238
2015-11, 1.32751000
2015-10, 1.30730476
2015-09, 1.32664762
2015-08, 1.31432000
2015-07, 1.28642727
2015-06, 1.23576364
2015-05, 1.21847500
2015-04, 1.23307619
2015-03, 1.26120455
2015-02, 1.24988421
2015-01, 1.21231429
2014-12, 1.15361429
2014-11, 1.13315263
2014-10, 1.12166818
2014-09, 1.10135238
2014-08, 1.09219500
2014-07, 1.07404091
2014-06, 1.08258095
2014-05, 1.08885238
2014-04, 1.09901905
2014-03, 1.11068571
2014-02, 1.10606316
2014-01, 1.09484545
2013-12, 1.06370500
2013-11, 1.04902500
2013-10, 1.03673182
2013-09, 1.03433500
2013-08, 1.04054762
2013-07, 1.03993636
2013-06, 1.03154000
2013-05, 1.02052727
2013-04, 1.01849091
2013-03, 1.02433000
2013-02, 1.00954737
2013-01, 0.99194545
2012-12, 0.98983684
2012-11, 0.99681429
2012-10, 0.98754091
2012-09, 0.97844737
2012-08, 0.99270000
2012-07, 1.01349048
2012-06, 1.02752381
2012-05, 1.01023636
2012-04, 0.99265000
2012-03, 0.99348636
2012-02, 0.99704762
2012-01, 1.01273333
2011-12, 1.02407000
2011-11, 1.02571429
2011-10, 1.01911000
2011-09, 1.00297143
2011-08, 0.98235909
2011-07, 0.95577000
2011-06, 0.97728636
2011-05, 0.96784762
2011-04, 0.95779500
2011-03, 0.97661304
2011-02, 0.98752000
2011-01, 0.99417000
2010-12, 1.00795714
2010-11, 1.01318571
2010-10, 1.01849000
2010-09, 1.03359048
2010-08, 1.04182381
2010-07, 1.04293810
2010-06, 1.03957727
2010-05, 1.04028000
2010-04, 1.00505238
2010-03, 1.02328261
2010-02, 1.05592500
2010-01, 1.04347500
2009-12, 1.05601429
2009-11, 1.05940000
2009-10, 1.05605238
2009-09, 1.08183810
2009-08, 1.08889500
2009-07, 1.12170909
2009-06, 1.12713182
2009-05, 1.14998000
2009-04, 1.22459524
2009-03, 1.26331364
2009-02, 1.24477000
2009-01, 1.22481905
2008-12, 1.23436190
2008-11, 1.22024737
2008-10, 1.18214545
2008-09, 1.05736190
2008-08, 1.05465500
2008-07, 1.01311818
2008-06, 1.01680476
2008-05, 1.00015714
2008-04, 1.01310455
2008-03, 1.00247500
2008-02, 0.99993810
2008-01, 1.01122727
2007-12, 1.00312105
2007-11, 0.96800000
2007-10, 0.97474091
2007-09, 1.02465263
2007-08, 1.05887727
2007-07, 1.05108571
2007-06, 1.06555238
2007-05, 1.09527727
2007-04, 1.13425500
2007-03, 1.16873182
2007-02, 1.17075000
